Year,Round,Region Number,Region Name,Seed,Score,Team,Team,Score,Seed,PointDifferential,Favwin,Bench,TeamOISeed,TeamOIScore,Pace,FGATTDiff,2PTFGMDDiff,2PTFGATTDiff,3PTMDiff,3PTFGATTDIff,FTADiff,FTMDiff,OffRebDiff,DefRebDiff,OffReb%,OppOffReb%,OffReb%Diff,DefReb%Diff,TotalRB%Diff,AssistsDiff,BlockDiff,TurnoversDiff,FoulsCommittedDiff,StealsDiff,Trend,Before/After Rule Change
2013,1,1,Midwest,3,65,Michigan St,Valparaiso,54,14,11,1,0,3,65,62.8,4,8,14,-1,-10,-3,-2,12,14,,,,,,6,-2,10,4,-6,1,0
2013,1,1,Midwest,4,64,St Louis,New Mexico St,44,13,20,1,1,4,64,61.9,-7,6,-2,2,-5,1,2,-11,2,,,,,,7,-4,-6,3,1,1,0
2013,1,1,Midwest,5,55,Oklahoma St,Oregon,68,12,-13,0,0,5,55,71.1,-6,1,-2,-3,-4,-6,-6,-8,-4,,,,,,0,0,-4,4,0,1,0
2013,1,1,Midwest,6,54,Memphis,St Marys,52,11,2,1,0,6,54,62.3,-9,-1,-8,2,0,4,-2,-5,1,,,,,,3,12,2,-1,5,1,0
2013,1,1,Midwest,7,67,Creighton,Cincinnati,63,10,4,1,0,7,67,64.6,-22,-10,-17,2,-5,16,18,-7,8,,,,,,4,-2,7,-10,-7,1,0
2013,1,2,West,3,62,New Mexico,Harvard,68,14,-6,0,0,3,62,63,14,4,18,-5,-4,4,1,13,-5,,,,,,-3,-2,-2,-3,9,1,0
2013,1,2,West,4,61,Kansas St,La Salle,63,13,-2,0,0,4,61,59.8,8,6,13,-3,-5,1,-5,7,-1,,,,,,0,2,1,1,2,1,0
2013,1,2,West,5,46,Wisconsin,Ole Miss,57,12,-11,0,0,5,46,63.4,2,-11,-13,4,15,-3,-1,3,-6,,,,,,2,1,1,4,1,1,0
2013,1,2,West,6,81,Arizona,Belmont,64,11,17,1,0,6,81,65.2,0,8,10,1,-10,-3,-2,8,18,,,,,,6,5,8,1,-5,1,0
2013,1,2,West,7,58,Notre Dame,Iowa St,76,10,-18,0,0,7,58,65.8,-8,-2,-4,-5,-4,1,1,4,4,,,,,,-10,1,11,-2,-2,1,0
2013,1,3,South,3,79,Florida,Northwestern St,47,14,32,1,0,3,79,66.1,11,7,6,4,5,12,6,10,7,,,,,,4,-1,-7,-7,8,1,0
2013,1,3,South,4,71,Michigan,South Dakota St,56,13,15,1,0,4,71,62,3,0,2,5,1,1,0,0,0,,,,,,-1,3,-3,-2,0,1,0
2013,1,3,South,6,63,UCLA,Minnesota,83,11,-20,0,0,6,63,72.5,2,-6,-4,-5,6,6,7,8,-2,,,,,,-9,-1,4,0,-2,1,0
2013,1,3,South,7,70,San Diego St,Oklahoma,55,10,15,1,0,7,70,64.4,-2,0,4,1,-6,9,12,3,8,,,,,,5,1,2,-9,-1,1,0
2013,1,4,East,3,59,Marquette,Davidson,58,14,1,1,1,3,59,62.7,12,3,14,-2,-2,-3,1,10,2,,,,,,-7,0,-2,3,3,1,0
2013,1,4,East,5,61,UNLV,California,64,12,-3,0,0,5,61,71,0,-8,-9,1,9,10,10,4,-3,,,,,,-7,1,1,1,-4,1,0
2013,1,4,East,6,68,Butler,Bucknell,56,11,12,1,0,6,68,69.1,-7,-1,-8,-2,1,20,20,1,3,,,,,,-5,-1,-4,-8,6,1,0
2013,1,4,East,7,57,Illinois,Colorado,49,10,8,1,0,7,57,65.8,1,-4,-11,3,12,11,7,3,-2,,,,,,3,-1,-3,-8,3,1,0
2014,1,1,South,3,77,Syracuse,Western Michigan,53,14,24,1,0,3,77,66.8,8,8,9,3,-1,-3,-1,5,11,,,,,,4,5,-1,5,4,2,1
2014,1,1,South,4,76,UCLA,Tulsa,59,13,17,1,0,4,76,69.4,6,10,9,-2,-3,1,3,1,2,,,,,,3,3,-6,5,9,2,1
